,back2mid_deg,earL2earR_deg
0,276.0296083142723,178.9654143818552
1,277.7603655810643,178.75913055419767
2,277.87337207290284,178.7521569147089
3,276.79537758208943,178.8766934096822
4,275.23172499206737,178.98917633844272
5,274.5929438116917,178.99260075288086
6,276.29625056805514,178.72607326918677
7,276.97058618646054,178.5748323214634
8,277.11754325788013,178.5064748347991
9,277.25490381478846,180.23935129281665
10,277.29153054011624,182.729030292163
11,278.94765890897406,185.12432490981405
12,279.6696051113933,186.61660597632522
13,279.5942338199287,186.58926686478412
14,279.53884856021307,186.5443689368352
15,279.51322111747476,186.50330987896592
16,278.8939474459922,185.70155994793274
17,277.0547856072047,183.3710822018948
18,276.9959206201188,183.3567705890534
19,275.8831911235315,183.37266567465025
20,277.18346104577705,185.73172594195015
21,276.1490238105622,186.44767890169868
22,275.09242617561256,186.45717813602894
23,273.93345866900484,184.71839461802702
24,273.7174524750564,182.19546552692927
25,273.51287950468446,181.3600767686652
26,273.44880345504475,182.20407180151034
27,273.4613401996211,183.01144764368024
28,273.8604426186956,182.0485449083578
29,274.29805956009255,179.5327576519557
30,274.39014083237936,179.4881811076596
31,274.4521240928034,179.52797437666504
32,273.95951379017384,179.71234937066063
33,273.8569208926363,178.2156370451543
34,273.5619060632116,178.16953055819715
35,273.4252193027822,177.99899787823512
36,273.32039096617564,179.443917874872
37,273.25438962330793,181.10380032312324
38,273.3520957367055,182.7418408432675
39,273.40413910842267,181.04365124612633
40,273.5241052647044,180.04782396924136
41,273.3014822019866,177.39779001702595
42,273.3007497746911,177.40797448912625
43,273.06288150982726,177.66082874737808
44,273.4178918413671,177.89219610587102
45,273.067357682482,177.91075074604692
46,272.6413795550298,177.63725408877661
47,272.42807455877437,177.34589025989632
48,272.4391470483852,177.36872163859738
49,272.7788290889614,177.4061286669669
50,272.78278213208387,177.45604140403051
51,272.7365961812496,177.47361652673453
52,272.6697669272139,177.47702545405633
53,272.6994296215306,177.5176248998771
54,272.8028296574206,177.55021493553969
55,272.9078984606353,177.60195290363083
56,272.93596092837777,177.63221733793708
57,272.8743174810462,177.63016527891554
58,272.8435654343724,177.59800154693974
59,271.5801072430327,177.70278596390543
60,270.3619768257065,177.96358339288048
61,268.7468877257284,179.36429077129645
62,267.12484271222223,180.21547772364758
63,266.67561759431516,179.4637460503569
64,265.4381123353533,180.25704570783364
65,265.65274426019266,180.20129503547264
66,266.0359629784397,181.68645855667805
67,267.34020010863065,181.56394444678511
68,269.5584970731613,181.56434978785225
69,271.2782757097574,180.99613537346073
70,271.9255898369887,179.5847346043728
71,271.04314781952706,177.9647539788361
72,271.03096517171656,178.03236157879869
73,271.18978538192056,179.71752979670913
74,272.4833343762642,179.64400465333108
75,271.41947209361825,179.1243393238801
76,269.5537230191332,177.63639394833524
77,267.65433604670454,176.68995348042242
78,266.28652104372406,176.19199543359437
79,266.21146137725276,175.81351014430058
80,266.05762509523714,175.1778711271418
81,265.8997888669104,174.66721577334135
82,264.9320443901703,174.37270471809347
83,262.3329092636381,174.18696458286345
84,259.7156923028619,174.05656263600056
85,257.15846938703595,172.338454022958
86,257.11667447918194,169.18353510426599
87,257.0655563117679,164.3859900172868
88,257.30562356580435,162.03036887041094
89,256.8783641690691,159.58777947957446
90,256.7526246250542,159.64555453074547
91,256.33842181932687,158.14834083923066
92,256.51999556876535,158.1500968147289
93,256.5815517426299,158.19063377341746
94,256.78985973545457,160.58757963195393
95,256.87512580416706,163.05895388888555
96,256.10769546017156,165.48858188153883
97,253.96984864618605,166.18066137419865
98,252.5286972506002,166.17900920201808
99,252.4749705116957,167.7340374593085
100,254.54285785013792,170.27626070470887
101,256.7014810518023,173.08480912385437
102,257.1156282307894,174.32923689181163
103,257.26191029265345,174.28788271769028
104,257.461951896399,174.57775244350847
105,259.0254627010166,174.92475280089207
106,261.70325281122797,178.6926391503415
107,264.4184451416526,179.54764565105418
108,266.6171516421669,181.58649941576599
109,266.986862202707,180.8519203129165
110,267.03973395718634,179.52585552667804
111,266.68799872138925,178.12739603800213
112,267.24103196287837,176.7861275597964
113,269.0937352744278,176.78319661171318
114,271.0552330201689,176.82695515744192
115,272.9355511152293,176.8296309531441
116,272.45811825203646,176.71056919211804
117,271.935818330142,176.5360598511683
118,271.4212927077119,176.3662043999027
119,271.2023827545773,176.27477447658563
120,271.1650625426755,176.28485883638504
121,271.4620436329575,176.32530093835922
122,271.4476273295953,177.15464219992845
123,270.22811646821737,177.91543174109222
124,270.5197354378804,177.96642777179798
125,270.48278668657576,177.8914703545565
